Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-008356,2020-09,02/20/2020 12:30,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN,4800,CARTER AVE,69, , ,4401,SHREVE,894413.9,1037327
20-009120,2020-09,02/21/2020 20:46,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3401,GOODFELLOW BLVD,50, , ,3401,GOODFELLOW,884807.3,1037849
20-012764,2020-09,02/26/2020 17:10, , , ,-1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",2013,OSAGE,18, , ,2013,OSAGE,0,0
20-040122,2020-09,02/28/2020 12:00,Y, , ,1, , 64701,1,LARCENY-FROM MTR VEH UNDER $500,4158,SCHILLER PL,5, , ,4158,SCHILLER,886994,998992.1
20-012561,2020-09,02/28/2020 14:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,3700,ALBERTA ST,16, ,APT 2E,3700,ALBERTA,0,0
20-020257,2020-09,03/01/2019 18:00,Y, , ,1, ,175500,2,SEX OFFNS-SX MISCONDUCT/FIRST,3200,REGAL PL,14, , ,3200,REGAL,0,0
20-038298,2020-09,03/01/2020 08:00,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,3600,S KINGSHIGHWAY BLVD,14, , ,4400,OLEATHA,0,0
20-010622,2020-09,03/01/2020 22:00,Y, , ,1, , 41014,5,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,4757,CUPPLES PL,55, , ,35,GRAND,891111.3,1031511
20-010622,2020-09,03/01/2020 22:00,Y, , ,1, , 41024,5,ASSLT-AGGRAV-FIREARM-1ST-CHILD-DOMESTIC,4757,CUPPLES PL,55, , ,35,GRAND,891111.3,1031511
20-010813,2020-09,03/05/2020 14:04,Y, , ,1, ,183999,6,DRUGS-SALE/OTHR UNSPEC DRUG,5300,N KINGSHIGHWAY BLVD,71,DEA INVESTIGATION, ,5300,KINGSHIGHWAY,894013.6,1039690
18-010322,2020-09,03/07/2018 10:03,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3514,GOODFELLOW BLVD,50, , , , ,885523.3,1038135
18-010326,2020-09,03/07/2018 10:19,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5909,WABADA AVE,50, , , , ,882806.1,1035441
20-011872,2020-09,03/11/2020 18:50,Y, , ,1, , 43015,2,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,6616,MCCUNE AVE,11, , ,6616,MCCUNE,877075.8,1011669
20-012119,2020-09,03/13/2020 11:31,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5846,ELMBANK AVE,50, , ,5846,ELMBANK,884675.7,1037737
20-012201,2020-09,03/13/2020 20:00,Y, , ,1, , 43015,6,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,3531,LAMBDIN AVE,56, , , , ,896221.3,1031742
20-012218,2020-09,03/13/2020 23:00,Y, , ,1, , 44015,5,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,2812,BELT AVE,50, , ,4212,BELT,886419.3,1034727
20-012879,2020-09,03/18/2020 14:45,Y, , ,1, ,130000,1,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4711,MORGANFORD RD,5, , ,4711,MORGANFORD,886808.8,1001205
20-042807,2020-09,03/23/2020 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,9075,GOODFELLOW BLVD,73, ,@BANK OF AMERICA - GOODFELLOW,9075,GOODFELLOW,893940.4,1052090
20-037729,2020-09,03/24/2020 10:40,Y, , ,1, ,242000,4,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,814,LA BEAUME ST,64, ,@HQ,1915,OLIVE,909626.4,1023946
20-014394,2020-09,03/30/2020 15:00,Y, , ,1, , 41016,1,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,6015,CARLSBAD AVE,5, , ,6015,CARLSBAD,884754.7,998493.1
20-040029,2020-09,04/01/2020 08:00,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2661,ARSENAL ST,30, , ,2661,ARSENAL,898461.8,1007303
20-014634,2020-09,04/01/2020 14:54,Y, , ,1, ,183999,6,DRUGS-SALE/OTHR UNSPEC DRUG,5206,LILLIAN AVE,71, ,DEA INVESTIGATION,5206,LILLIAN,892434.1,1039742
20-038784,2020-09,04/02/2016 00:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3200,PENNSYLVANIA AVE,30, , ,3200,PENNSYLVANIA,0,0
20-040669,2020-09,04/14/2020 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,4744,PLOVER AVE,72, , ,4744,PLOVER,889402.9,1041786
20-016261,2020-09,04/15/2020 00:07, , , ,1, , 71030,5,AUTO THEFT-PERM RETNT/JOY RIDE, , ,50, , , , ,0,0
20-016261,2020-09,04/15/2020 00:07, , , ,-1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR, , ,50, , , , ,0,0
20-042859,2020-09,04/16/2020 21:50,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-041877,2020-09,04/20/2020 08:30,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,3221,LAFAYETTE AVE,31, , ,3221,LAFAYETTE,896440.9,1013462
20-043104,2020-09,04/20/2020 12:00,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,8241,CHURCH RD,74, , ,8241,CHURCH,896400.6,1048367
20-017035,2020-09,04/20/2020 21:19,Y, , ,1, , 82000,4,ARSON-2ND DEGREE/SUCCESS,4300,N 20TH ST,66, , , , ,904008.8,1032123
20-042864,2020-09,04/21/2020 09:55,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-042890,2020-09,04/21/2020 20:20,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-042886,2020-09,04/21/2020 21:27,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-017211,2020-09,04/22/2020 09:33,Y, , ,1, ,266510,5,PUBLIC ORDER-TRESPASSING,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
20-042880,2020-09,04/23/2020 10:40,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-042877,2020-09,04/25/2020 10:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-039545,2020-09,04/27/2020 08:40,Y, , ,1, ,264100,2,HEALTH-SANITATION VIOL,3648,PHILLIPS PL,15, , ,3648,PHILLIPS,892744.3,1003492
20-018071,2020-09,04/27/2020 20:53,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5881,HIGHLAND AVE,50, , ,5881,HIGHLAND,883253.7,1035542
20-042902,2020-09,04/29/2020 17:13,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-042872,2020-09,05/02/2020 09:17,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-043077,2020-09,05/03/2020 17:53,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,514,CALVARY AVE,79,TECHNIFOAM INC., ,514,CALVARY,898238.9,1044042
20-020008,2020-09,05/09/2020 17:33,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,2835,CLARA AVE,50, , ,2835,CLARA,885715.2,1035714
20-020014,2020-09,05/11/2020 03:16,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5723,SAINT LOUIS AVE,50, , ,5723,SAINT LOUIS,885162.2,1036240
20-020019,2020-09,05/11/2020 15:40,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5841,GREER AVE,50, , ,5841,GREER,884464.6,1037597
20-020188,2020-09,05/13/2020 00:16,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5560,ASHLAND AVE,50, , ,5560,ASHLAND,886562.2,1036555
20-044236,2020-09,05/14/2020 12:00,Y, , ,1, ,103000,5,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,6101,KENNERLY AVE,50, , ,6101,KENNERLY,882383,1036409
20-020600,2020-09,05/15/2020 21:30, , , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5728,VERA,13, , ,5728,VERA,0,0
20-020600,2020-09,05/15/2020 21:30, , , ,-1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,5728,VERA,13, , ,5728,VERA,0,0
20-043444,2020-09,05/17/2020 12:00,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,4535,FOREST PARK AVE,38, , ,4535,FOREST PARK,888418.1,1021680
20-020922,2020-09,05/17/2020 21:29,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4761,LEXINGTON AVE,55, , ,4761,LEXINGTON,892392.4,1033889
20-020908,2020-09,05/17/2020 23:40,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5846,ELMBANK AVE,50, , ,5846,ELMBANK,884675.7,1037737
20-020923,2020-09,05/17/2020 23:51,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3000,N TAYLOR AVE,56, , ,3000,TAYLOR,893756.4,1031597
20-020928,2020-09,05/18/2020 03:31,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4231,ATHLONE AVE,68, , ,4231,ATHLONE,897640.3,1034607
20-040508,2020-09,05/19/2020 12:10,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3673,FILLMORE ST,3, , ,3673,FILLMORE,889038.3,995216.9
20-023096,2020-09,05/21/2020 16:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1915,OLIVE ST,36, ,@HQ,1915,OLIVE,903703.7,1019090
20-021821,2020-09,05/24/2020 01:14, , , ,1, , 10000,5,HOMICIDE,2821,VANDEVENTER,56,ZX GAS STATION, ,2822,VANDEVENTER,0,0
20-021821,2020-09,05/24/2020 01:14, , , ,-1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2821,VANDEVENTER,56,ZX GAS STATION, ,2822,VANDEVENTER,0,0
20-042907,2020-09,05/25/2020 07:36,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-042163,2020-09,05/25/2020 16:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7815,BANDERO DR,1, , ,7815,BANDERO,886339.6,990237
20-022213,2020-09,05/26/2020 12:00,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",2800,N FLORISSANT AVE,63, ,STREET,2800,FLORISSANT,905960.9,1025983
20-042051,2020-09,05/27/2020 17:00,Y, , ,1, , 64701,6,LARCENY-FROM MTR VEH UNDER $500,0,E CARTER AVE / HARRIS AVE,68, , , , ,898606.2,1034563
20-040040,2020-09,05/29/2020 15:30,Y, , ,1, ,264100,2,HEALTH-SANITATION VIOL,6816,SUTHERLAND AVE,9, , ,6816,SUTHERLAND,874818.9,1004430
20-040553,2020-09,05/29/2020 16:00,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4116,FEDERER ST,5, , ,4116,FEDERER,885664.3,996223.9
20-022865,2020-09,05/30/2020 08:20,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",800,OLIVE ST,35, ,@CIVIL COURTS,10,TUCKER,907992.6,1017744
20-023750,2020-09,05/30/2020 11:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,400,OLIVE ST,35, ,@HOTEL- HILTON,400,OLIVE,0,0
20-042166,2020-09,06/01/2020 04:45,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7858,RIO TINTO PL,1, , ,7858,RIO TINTO,886071.1,989538.9
20-042171,2020-09,06/01/2020 04:45,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7858,RIO TINTO PL,1, , ,7858,RIO TINTO,886071.1,989538.9
20-043365,2020-09,06/01/2020 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,2601,WHITTIER ST,57, , ,2601,WHITTIER,895657.7,1028977
20-039876,2020-09,06/01/2020 15:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4449,GREER AVE,56, , ,4449,GREER,894269.1,1031782
20-042177,2020-09,06/01/2020 17:34,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7865,COSTA PL,1, , ,7865,COSTA,886296.4,989353
20-023383,2020-09,06/02/2020 04:09,Y, , ,1, , 52212,3,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,1549,S JEFFERSON AVE,31, ,#1134981,1549,JEFFERSON,899869,1013585
20-045138,2020-09,06/03/2020 05:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2600,CHOUTEAU AVE,31, ,@QT - JEFFERSON / CHOUTEAU,2600,CHOUTEAU,900507.7,1015458
20-023920,2020-09,06/03/2020 17:00, , , ,-1, , 83000,4,ARSON-KNOWINGLY BURNING/SUCCESS,1021,GRAND,77,SIMMONS BANK,BANK,1021,GRAND,0,0
20-023844,2020-09,06/03/2020 21:55, , , ,-1, , 82000,6,ARSON-2ND DEGREE/SUCCESS, , ,74, , , , ,0,0
20-043546,2020-09,06/08/2020 01:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3746,DUNNICA AVE,16, , ,3746,DUNNICA,892017.3,1002854
20-024756,2020-09,06/09/2020 15:28,Y, , ,1, , 31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4711,ADKINS AVE,5, , ,4711,ADKINS,887750.6,1000546
20-043549,2020-09,06/10/2020 10:50,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7450,HAMPTON AVE,6, ,@SCHNUCKS - HAMPTON AND GRAVOIS,7450,HAMPTON,879164.2,994830.9
20-025086,2020-09,06/11/2020 12:20,Y, , ,1, , 91124,1,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",3952,BATES,3, , ,3952,BATES,0,0
20-045190,2020-09,06/14/2020 13:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2600,CHOUTEAU AVE,31, ,@QT - JEFFERSON / CHOUTEAU,2600,CHOUTEAU,900507.7,1015458
20-043554,2020-09,06/15/2012 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,4902,ALDINE AVE,55, , ,4902,ALDINE,889213.3,1030234
20-041249,2020-09,06/15/2020 00:00,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,N TUCKER BLVD / WASHINGTON AVE,35, , , , ,906851.2,1019079
20-028455,2020-09,06/15/2020 00:01,Y, , ,1, , 44021,0,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN CHLD 1ST DEGRE",0,UNKNOWN,0, , ,1465,GRAND,0,0
20-043412,2020-09,06/15/2020 12:00,Y, , ,1, ,115100,4,FRAUD-STEALING BY DECEIT/OVER $150,3909,VEST AVE,65, , ,3909,VEST,902740.7,1029457
20-041057,2020-09,06/15/2020 12:20,Y, , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,2233,WASHINGTON AVE,36,ENTERPRISE RENT A CAR, ,2233,WASHINGTON,902599.4,1020249
20-025950,2020-09,06/16/2020 10:11,Y, , ,1, ,263299,3,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,3628,S BROADWAY,18, ,BUSINESS,3628,BROADWAY,900149.3,1003502
20-045149,2020-09,06/20/2020 15:33,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2600,CHOUTEAU AVE,31, ,@QT - JEFFERSON / CHOUTEAU,2600,CHOUTEAU,900507.7,1015458
20-040863,2020-09,06/20/2020 18:37,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,35,S GRAND BLVD,37, ,NUISANCE ABATEMENT PROPERTY,35,GRAND,896073.6,1019677
20-040855,2020-09,06/20/2020 19:25,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,35,S GRAND BLVD,37, ,NUISANCE ABATEMENT PROPERTY,35,GRAND,896073.6,1019677
20-043223,2020-09,06/22/2020 12:00,Y, , ,1, ,103000,6,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1401,MCLARAN AVE,74, , ,1401,MCLARAN,894617,1049696
20-043556,2020-09,06/22/2020 22:10,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5350,CHIPPEWA ST,7, , ,5350,CHIPPEWA,882225,1004459
20-040849,2020-09,06/25/2020 12:53,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4039,PECK ST,67, ,NUISANCE ABATEMENT PROPERTY,4039,PECK,901816.9,1030392
20-040484,2020-09,06/26/2019 09:53,Y, , ,1, ,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,2904,UNIVERSITY ST,59, , ,2904,UNIVERSITY,900922.3,1027184
20-027622,2020-09,06/26/2020 00:40, , , ,-1, , 83000,6,ARSON-KNOWINGLY BURNING/SUCCESS,4550,POPE,68, ,ALLEY BETWEEN POPE AND CLARENCE,4550,POPE,0,0
20-027864,2020-09,06/27/2020 09:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,5201,S GRAND BLVD,3, , ,5201,GRAND,891031.8,997070.8
20-027933,2020-09,06/27/2020 18:43,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,0,S COMPTON AVE / OSCEOLA ST,17, , , , ,894439.5,999023.6
20-043370,2020-09,06/27/2020 19:42,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7845,BANDERO DR,1, , ,7845,BANDERO,886197.3,989867
20-040865,2020-09,06/29/2020 05:13,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3651,PAGE BLVD,77, ,NUISANCE ABATEMENT PROPERTY,3651,PAGE,897645.6,1024509
20-044262,2020-09,06/29/2020 08:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,4345,TAFT AVE,5, , ,4345,TAFT,886868.6,1002753
20-028333,2020-09,06/30/2020 03:30, , , ,-1, , 83000,1,ARSON-KNOWINGLY BURNING/SUCCESS,300,HILL,17, ,: REAR,5101,MINNESOTA,0,0
20-028443,2020-09,06/30/2020 14:35,Y, , ,1, , 51121,1,BURGLARY-RESIDENCE/DAY/UNLAW ENT/OCCUPIED,3644,MONTANA ST,16, , ,3644,MONTANA,892711.3,1001311
20-040731,2020-09,06/30/2020 17:00,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,3017,PARK AVE,31, , ,3017,PARK,897751.6,1014601
20-044471,2020-09,06/30/2020 18:00,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,1724,S BROADWAY,20,BAR 101,@BAR- BAR 101,2423,MENARD,906062.8,1010375
19-064958,2020-09,07/01/2012 18:00,Y, , ,1, , 21000,0,RAPE -- FORCIBLE,0,UNKNOWN,0,TOWER GROVE NEIGHBORHOOD,TOWER GROVE NEIGBORHOOD,1900,OLIVE,0,0
20-042870,2020-09,07/01/2019 12:00,Y, , ,1, ,179220,1,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,7800,S BROADWAY,2,HOUSE OF MONTESSORI EDUCATION, ,7800,BROADWAY,0,0
20-039980,2020-09,07/01/2020 00:01,Y, , ,1, ,204100,5,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,5203,WELLS AVE,51, ,BOARDING HOUSE,5203,WELLS,886757.4,1030815
20-042232,2020-09,07/01/2020 11:19,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,7900,CHURCH RD,74, , ,7900,CHURCH,0,0
20-029127,2020-09,07/02/2020 10:00, , , ,-1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",5006,NEWPORT,5, , ,5006,NEWPORT,0,0
20-028870,2020-09,07/02/2020 15:47, , , ,-1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,8309,PENNSYLVANIA,2, , ,8309,PENNSYLVANIA,0,0
