Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-025115,2020-06,02/01/2020 00:01,Y, , ,1, , 52322,2,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,6001,HAMPTON AVE,8, , ,6001,HAMPTON,878936.9,999019.8
20-021399,2020-06,02/01/2020 01:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
20-021388,2020-06,02/02/2020 06:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4160,FINNEY AVE,58, , ,4160,FINNEY,893919.3,1025395
20-021394,2020-06,02/03/2020 11:35,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5740,GOODFELLOW PL,50, , ,5740,GOODFELLOW,885163.6,1037435
20-023208,2020-06,02/03/2020 13:53,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,6611,MINNESOTA AVE,1, , ,6611,MINNESOTA,891089.6,991354.6
20-021386,2020-06,02/04/2020 23:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4160,FINNEY AVE,58, , ,4160,FINNEY,893919.3,1025395
20-021383,2020-06,02/05/2020 06:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1315,N KINGSHIGHWAY BLVD,51, , ,1315,KINGSHIGHWAY,888174.5,1029422
20-021400,2020-06,02/05/2020 19:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1408,N KINGSHIGHWAY BLVD,53, , ,1408,KINGSHIGHWAY,888420.4,1030180
20-021379,2020-06,02/06/2020 00:01,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4372,COTTAGE AVE,57, , ,4372,COTTAGE,894343.6,1029494
20-025270,2020-06,02/11/2020 01:00,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4045,TOENGES AVE,4, , ,4045,TOENGES,885764.9,995500.8
20-024613,2020-06,02/11/2020 15:23,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1549,S JEFFERSON AVE,31, , ,1549,JEFFERSON,899869,1013585
20-021407,2020-06,02/12/2020 00:01,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1949,HODIAMONT AVE,50, , ,1949,HODIAMONT,881945,1035471
20-024739,2020-06,02/14/2020 09:25,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1530,LAFAYETTE AVE,33, , ,1530,LAFAYETTE,903270.1,1012207
20-021382,2020-06,02/17/2020 14:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2803,N KINGSHIGHWAY BLVD,52, , ,2803,KINGSHIGHWAY,889647.6,1032918
20-027490,2020-06,02/17/2020 14:38,Y, , ,1, ,121000,6,EMBEZZLEMENT-VALUE OVER $150,4976,NATURAL BRIDGE AVE,55, , ,4976,NATURAL BRIDGE,891285.9,1034955
20-007854,2020-06,02/17/2020 17:54,Y, , ,1, ,183999,6,DRUGS-SALE/OTHR UNSPEC DRUG,4700,BIRCHER BLVD,69, , ,4014,UNION,895152.2,1037234
20-024690,2020-06,02/18/2020 12:00,Y, , ,1, ,121000,6,EMBEZZLEMENT-VALUE OVER $150,3930,N KINGSHIGHWAY BLVD,69, ,@HOTEL- CAROUSEL,3930,KINGSHIGHWAY,891566.9,1035732
20-025809,2020-06,02/19/2020 08:00,Y, , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,800,WASHINGTON AVE,35, ,@HERTZ RENTAL,800,WASHINGTON,908297.3,1018623
20-009299,2020-06,02/19/2020 15:00,Y, , ,1, ,241100,6,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3111,CORA AVE,56, ,@SCHOOL - HICKEY,3111,CORA,892855.8,1032683
20-008332,2020-06,02/20/2020 06:00,Y, , ,1, ,241100,6,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,8831,JORDAN AVE,74, , ,8831,JORDAN,897115.8,1052645
20-024692,2020-06,02/20/2020 09:50,Y, , ,1, ,112010,2,FRAUD-CREDIT DEVICE/OVER $150,3710,HAMPTON AVE,14, , ,3710,HAMPTON,879391.1,1005729
20-029473,2020-06,02/20/2020 10:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1503,NEWHOUSE AVE,65, , ,1503,NEWHOUSE,905139.9,1031070
20-024603,2020-06,02/20/2020 13:50,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1314,GRAVOIS AVE,21, , ,1314,GRAVOIS,902707.6,1010535
20-008877,2020-06,02/23/2020 06:00,Y, , ,1, , 41014,5,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,4038,ST LOUIS AVE,56, , ,4038,ST LOUIS,897183.9,1029089
20-008877,2020-06,02/23/2020 06:00,Y, , ,1, , 91124,5,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",4038,ST LOUIS AVE,56, , ,4038,ST LOUIS,897183.9,1029089
20-024321,2020-06,02/23/2020 20:45,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,3943,LABADIE AVE,56, , ,3943,LABADIE,898082.8,1029269
20-029435,2020-06,02/25/2019 12:00,Y, , ,1, ,101000,5,FORGERY,4551,NEWBERRY TER,54, , ,4551,NEWBERRY,891167.9,1027498
20-021390,2020-06,02/25/2020 08:08,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4109,ENRIGHT AVE,58, , ,4109,ENRIGHT,893880.6,1024494
20-029567,2020-06,02/27/2020 12:00,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,5305,PAGE BLVD,78, , ,5305,PAGE,885078.8,1029963
20-026315,2020-06,03/01/2020 00:01,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4163,W BELLE PL,58, , ,4163,BELLE,893312,1025183
20-025449,2020-06,03/01/2020 08:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,RIVERVIEW DR / SPRING GARDEN D,75, , , , ,906550.1,1060949
20-023916,2020-06,03/01/2020 12:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,3915,OLIVE ST,38, , ,3915,OLIVE,894624.9,1022655
20-028837,2020-06,03/01/2020 12:00,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",5708,KINGSBURY PL,46, , ,5708,KINGSBURY,881536.7,1026065
20-023672,2020-06,03/01/2020 19:30,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,3016,GASCONADE ST,16, , ,3016,GASCONADE,895461.4,1000753
20-010306,2020-06,03/02/2020 15:15,Y, , ,1, , 43026,5,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,5805,SELBER CT,50, , ,5805,SELBER,884807.3,1037849
20-010306,2020-06,03/02/2020 15:15,Y, , ,1, , 43016,5,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,5805,SELBER CT,50, , ,5805,SELBER,884807.3,1037849
20-010306,2020-06,03/02/2020 15:15,Y, , ,1, , 43023,5,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,5805,SELBER CT,50, , ,5805,SELBER,884807.3,1037849
20-010306,2020-06,03/02/2020 15:15,Y, , ,1, , 43026,5,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,5805,SELBER CT,50, , ,5805,SELBER,884807.3,1037849
20-028693,2020-06,03/03/2020 12:00,Y, , ,1, ,242000,1,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,5235,ALASKA AVE,1, ,APT A,5235,ALASKA,891773,996190.2
20-022168,2020-06,03/03/2020 22:15,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,900,N KINGSHIGHWAY BLVD,53, , ,900,KINGSHIGHWAY,887992.3,1027106
20-026962,2020-06,03/04/2020 21:46,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4330,COTTAGE AVE,57, , ,4330,COTTAGE,894450.8,1029449
20-022165,2020-06,03/04/2020 21:47,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4330,COTTAGE AVE,57, , ,4330,COTTAGE,894450.8,1029449
20-010835,2020-06,03/05/2020 16:15,Y, , ,1, ,263299,5,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,ASHLAND AVE / UNION BLVD,52, , , , ,888734.9,1035403
20-010962,2020-06,03/06/2020 00:03,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3715,NATURAL BRIDGE AVE,83, , ,3715,NATURAL BRIDGE,899717.3,1031338
20-027120,2020-06,03/07/2020 11:50,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5343,VERNON AVE,49, , ,5343,VERNON,884742.3,1028903
20-024518,2020-06,03/08/2020 09:33,Y, , ,1, ,115100,6,FRAUD-STEALING BY DECEIT/OVER $150,6111,EMMA AVE,76, , , , ,889759.6,1046458
20-026961,2020-06,03/09/2020 01:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1911,N TAYLOR AVE,56, , ,1911,TAYLOR,892639.8,1029563
20-021410,2020-06,03/09/2020 01:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1911,N TAYLOR AVE,56, , ,1911,TAYLOR,892639.8,1029563
20-022167,2020-06,03/09/2020 05:55,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2415,N KINGSHIGHWAY BLVD,52, , ,2415,KINGSHIGHWAY,889128.1,1032112
20-011421,2020-06,03/09/2020 07:00,Y, , ,1, ,263299,6,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,1022,BITTNER ST,74, ,TWO FAMILY FLAT,1022,BITTNER,896465.9,1047368
20-026960,2020-06,03/09/2020 22:05,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2727,N KINGSHIGHWAY BLVD,52, ,@BISHOP HEALY,2727,KINGSHIGHWAY,889447.5,1032841
20-011759,2020-06,03/10/2020 10:00,Y, , ,1, , 92000,5,SIMPLE ASSAULT-HARRASSMENT,5835,SELBER CT,50, ,APT 1D,5835,SELBER,885052.8,1037952
20-011634,2020-06,03/10/2020 14:00,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,4206,S GRAND BLVD,16, , ,4206,GRAND,893375.8,1000297
20-022164,2020-06,03/12/2020 12:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4053,FINNEY AVE,58, , ,4053,FINNEY,894717.6,1025203
20-012126,2020-06,03/13/2020 11:30,Y, , ,1, ,182400,5,DRUGS-POSSESSION/MARIJUANA,2700,UNION BLVD,52, , , , ,887857.3,1033549
20-012123,2020-06,03/13/2020 11:30,Y, , ,1, ,263299,6,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,4669,ELMBANK AVE,56, , ,4669,ELMBANK,892899.6,1032987
20-012192,2020-06,03/13/2020 19:10,Y, , ,1, , 91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4236,JUNIATA ST,15, , ,4236,JUNIATA,888915.9,1008162
20-012247,2020-06,03/14/2020 08:30,Y, , ,1, ,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,4916,ST LOUIS AVE,55, , ,4916,ST LOUIS,890609.8,1033022
20-025125,2020-06,03/15/2020 10:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,3664,MARCELINE TER,16, , ,3664,MARCELINE,891505.5,998833
20-012993,2020-06,03/15/2020 16:00, , , ,1, , 71030,5,AUTO THEFT-PERM RETNT/JOY RIDE, , ,78, , , , ,0,0
20-012993,2020-06,03/15/2020 16:00, , , ,-1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR, , ,78, , , , ,0,0
20-026952,2020-06,03/15/2020 23:20,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,711,N EUCLID AVE,53, , ,711,EUCLID,888503.4,1026317
20-022172,2020-06,03/15/2020 23:20,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION, ,N EUCLID AVE,53, , , ,EUCLID,888641.7,1026251
20-024123,2020-06,03/17/2020 15:32,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,6152,ALASKA AVE,1, , ,6152,ALASKA,890234.3,993722.6
20-024700,2020-06,03/17/2020 15:40,Y, , ,1, , 64701,1,LARCENY-FROM MTR VEH UNDER $500,3840,EICHELBERGER ST,5, , ,3840,EICHELBERGER,889238.8,997681.4
20-024884,2020-06,03/18/2020 00:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,6149,VICTORIA AVE,42, , ,6149,VICTORIA,880429.3,1017566
20-025770,2020-06,03/18/2020 08:21,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,3518,CALIFORNIA AVE,19, , ,3518,CALIFORNIA,897312.5,1004289
20-013219,2020-06,03/18/2020 14:00, , , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",1600,PINE,36, ,GROUND FLOOR OF PARKING STRUCTURE,1600,PINE,0,0
20-013219,2020-06,03/18/2020 14:00, , , ,-1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,1600,PINE,36, ,GROUND FLOOR OF PARKING STRUCTURE,1600,PINE,0,0
20-026958,2020-06,03/18/2020 19:55,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4135,C D BANKS AVE,58, , ,4135,C D BANKS,894060.8,1025264
20-013277,2020-06,03/20/2020 07:50, , , ,1, , 51122,3,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,1008,DILLON,33, , ,1008,DILLON,0,0
20-028254,2020-06,03/20/2020 13:15,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,4742,HIGHLAND AVE,55, , ,4742,HIGHLAND,891116.2,1031147
20-023168,2020-06,03/21/2020 15:17,Y, , ,1, ,264100,4,HEALTH-SANITATION VIOL,4430,N 20TH ST,66, , ,4430,20TH,903756,1032752
20-023889,2020-06,03/21/2020 17:48,Y, , ,1, ,264100,4,HEALTH-SANITATION VIOL,4430,N 20TH ST,66, , ,4430,20TH,903756,1032752
20-025772,2020-06,03/22/2020 13:15,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,5737,GOENER AVE,5, , ,5737,GOENER,884901.2,998934.8
20-024617,2020-06,03/22/2020 20:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3751,S JEFFERSON AVE,19, , ,3751,JEFFERSON,898162.7,1002525
20-021416,2020-06,03/24/2020 09:21,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3501,N KINGSHIGHWAY BLVD,52, , ,3501,KINGSHIGHWAY,890735,1035001
20-026963,2020-06,03/24/2020 09:21,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3501,N KINGSHIGHWAY BLVD,52, , ,3501,KINGSHIGHWAY,890735,1035001
20-022166,2020-06,03/24/2020 19:50,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1610,N KINGSHIGHWAY BLVD,55, ,@WARWOOD APTS,1610,KINGSHIGHWAY,888692.6,1030783
20-026959,2020-06,03/24/2020 19:50,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1610,N KINGSHIGHWAY BLVD,55, ,@WARWOOD APTS,1610,KINGSHIGHWAY,888692.6,1030783
20-013821,2020-06,03/25/2020 10:00,Y, , ,1, , 51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3404,HAMILTON AVE,50, ,APT 1A,3404,HAMILTON,884446,1038097
20-027118,2020-06,03/25/2020 10:16,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5342,DR MARTIN LUTHER KING DR,78, , ,5342,DR MARTIN LUTHER KING,886056.5,1031491
20-025739,2020-06,03/26/2020 15:09,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,4728,COTE BRILLIANTE AVE,55, , ,4728,COTE BRILLIANTE,890475.4,1029807
20-014060,2020-06,03/27/2020 15:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,924,BATES ST,1, ,1ST FL,924,BATES,891229.8,995318.9
20-014146,2020-06,03/28/2020 20:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3958,BOTANICAL AVE,27, , , ,BOTANICAL,892087.4,1010751
20-014271,2020-06,03/29/2020 20:24,Y, , ,1, , 41021,4,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,711,BIDDLE ST,62, ,APARTMENT COMPLEX,711,BIDDLE,909174.2,1020603
20-014271,2020-06,03/29/2020 20:24,Y, , ,1, , 41014,4,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,711,BIDDLE ST,62, ,APARTMENT COMPLEX,711,BIDDLE,909174.2,1020603
20-014512,2020-06,03/31/2020 16:35,Y, , ,1, ,183999,3,DRUGS-SALE/OTHR UNSPEC DRUG,0,INDIANA AVE / VICTOR ST,23, , , , ,899844.8,1009687
20-022295,2020-06,04/01/2020 00:01,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,1900,E GANO AVE,66, , ,1900,GANO,0,0
20-027347,2020-06,04/02/2020 11:00,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,5530,ALASKA AVE,1, , ,5530,ALASKA,891545,995473.4
20-014759,2020-06,04/02/2020 13:31,Y, , ,1, ,266510,1,PUBLIC ORDER-TRESPASSING,6129,MICHIGAN AVE,1, , ,6129,MICHIGAN,891986.5,992847.1
20-027611,2020-06,04/04/2020 01:20,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4546,TOWER GROVE PL,13, , ,4546,TOWER GROVE,887515.3,1011375
20-025048,2020-06,04/05/2020 08:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3747,PALM ST,59, ,NUISANCE ABATEMENT PROPERTY,3747,PALM,899955.5,1029968
20-015501,2020-06,04/08/2020 18:00,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,GOODFELLOW BLVD / RIDGE AVE,78, , , , ,882678.7,1032685
20-015526,2020-06,04/08/2020 23:15, , , ,-1, , 83000,4,ARSON-KNOWINGLY BURNING/SUCCESS, , ,63, , , , ,0,0
20-025056,2020-06,04/10/2020 18:10,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,205,N 9TH ST,35, ,@MARK TWAIN HOTEL,205,9TH,907619.9,1017799
20-015894,2020-06,04/11/2020 18:30, , , ,-1, , 51212,3,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,2927,NEBRASKA,25, , ,2927,NEBRASKA,0,0
20-025066,2020-06,04/11/2020 20:20,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1214,N 8TH ST,62, ,NUISANCE ABATEMENT PROPERTY,1214,8TH,908863.1,1020692
20-015931,2020-06,04/12/2020 02:00,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3157,SUBLETTE AVE,13, ,@SPD,3157,SUBLETTE,882564.6,1008801
19-016323,2020-06,04/13/2019 06:00, , , ,-1, , 82000,6,ARSON-2ND DEGREE/SUCCESS,1702,GRAPE,73, , ,1702,GRAPE,0,0
20-025078,2020-06,04/13/2020 03:50,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2800,STODDARD ST,59, ,NUISANCE ABATEMENT PROPERTY,2800,STODDARD,901215.1,1022057
20-025791,2020-06,04/13/2020 12:00,Y, , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,2233,WASHINGTON AVE,36,ENTERPRISE RENT-A-CAR, ,2233,WASHINGTON,902599.4,1020249
20-021261,2020-06,04/15/2020 06:15,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6124,N BROADWAY,79, , ,6124,BROADWAY,900558.8,1038456
20-025273,2020-06,04/15/2020 12:00,Y, , ,1, , 69603,4,"LARC-ALL OTH/FRM PRSN/$500 - $24,999",1820,MARKET ST,36,UNION STATION HOTEL, ,1820,MARKET,903731.7,1018016
20-024110,2020-06,04/15/2020 12:46,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,0,N 9TH ST / OLIVE ST,35, , ,919,JEFFERSON,907779.2,1018012
20-016510,2020-06,04/16/2020 18:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,4645,GRAVOIS AVE,5,FAMILY DOLLAR, ,4654,MORGANFORD,887223.5,1001220
20-021260,2020-06,04/17/2020 12:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8880,N BROADWAY,74, , ,8880,BROADWAY,897929.1,1053370
20-028354,2020-06,04/17/2020 13:00,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,930,HOLLY HILLS AVE,80, , ,930,HOLLY HILLS,889835.5,993183.7
20-016623,2020-06,04/17/2020 16:10,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,0,CLAYTON AVE / HAMPTON AVE,41, , ,6664,BERTHOLD,881131.1,1018397
20-016631,2020-06,04/17/2020 18:08, , , ,1, , 51222,1,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED,730,DOVER,1, , ,730,DOVER,0,0
20-027157,2020-06,04/18/2020 10:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1704,PRESERVATION PL,61, ,NUISANCE ABATEMENT PROPERTY,1704,PRESERVATION,906189.8,1022184
20-023880,2020-06,04/18/2020 12:48,Y, , ,1, ,264100,4,HEALTH-SANITATION VIOL,4430,N 20TH ST,66, , ,4430,20TH,903756,1032752
20-024429,2020-06,04/18/2020 18:49,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3518,S GRAND BLVD,25, , ,3518,GRAND,893530.5,1004900
20-027136,2020-06,04/19/2020 16:18,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2940,JAMES COOL PAPA BELL AVE,59, ,NUISANCE ABATEMENT PROPERTY,2940,JAMES COOL PAPA BELL,900436.9,1022981
20-024569,2020-06,04/20/2020 05:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2600,CHOUTEAU AVE,31, ,@QT - JEFFERSON / CHOUTEAU,2600,CHOUTEAU,900507.7,1015458
20-023602,2020-06,04/20/2020 13:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,4461,WILCOX AVE,5, , ,4601,WILCOX,885309.3,1000878
20-021262,2020-06,04/20/2020 17:27,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5622,W FLORISSANT AVE,72, , ,5622,FLORISSANT,892956.1,1044271
20-021263,2020-06,04/21/2020 16:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4402,LEE AVE,68, , ,4402,LEE,896426.4,1034571
20-017244,2020-06,04/21/2020 17:03,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5500,ERA AVE,76, , ,5512,ERA,889621.9,1046367
20-027126,2020-06,04/21/2020 21:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,705,COLE ST,62, ,NUISANCE ABATEMENT PROPERTY,705,COLE,908962.1,1019913
